# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
208             	9.22014422e-02	1.69378415e-19	-7.70007598e-01	3.85003799e-01	3.29046803e-01	4.61007211e-02	4.31104520e-01	-3.38903078e-01	4.61007211e-02	-4.61007211e-02	-5.59569958e-02	-7.14050602e-01
209             	9.21573720e-02	1.69250353e-19	-7.70100168e-01	3.85050084e-01	3.29036437e-01	4.60786860e-02	4.31128770e-01	-3.38971398e-01	4.60786860e-02	-4.60786860e-02	-5.60136469e-02	-7.14086521e-01
210             	9.21713065e-02	1.69121593e-19	-7.70089721e-01	3.85044860e-01	3.29006520e-01	4.60856533e-02	4.31130514e-01	-3.38959207e-01	4.60856533e-02	-4.60856533e-02	-5.60383403e-02	-7.14051381e-01
211             	9.21156039e-02	1.68992880e-19	-7.70250379e-01	3.85125189e-01	3.29005128e-01	4.60578020e-02	4.31182991e-01	-3.39067387e-01	4.60578020e-02	-4.60578020e-02	-5.61200616e-02	-7.14130317e-01
212             	9.21252824e-02	1.68863567e-19	-7.70322964e-01	3.85161482e-01	3.28989322e-01	4.60626412e-02	4.31224123e-01	-3.39098841e-01	4.60626412e-02	-4.60626412e-02	-5.61721595e-02	-7.14150804e-01
213             	9.20744493e-02	1.68734133e-19	-7.70539021e-01	3.85269511e-01	3.28998912e-01	4.60372247e-02	4.31306735e-01	-3.39232286e-01	4.60372247e-02	-4.60372247e-02	-5.62705987e-02	-7.14268423e-01
214             	9.20820205e-02	1.68603811e-19	-7.70690435e-01	3.85345218e-01	3.28994273e-01	4.60410103e-02	4.31386228e-01	-3.39304207e-01	4.60410103e-02	-4.60410103e-02	-5.63509444e-02	-7.14339491e-01
215             	9.20314162e-02	1.68472684e-19	-7.70970513e-01	3.85485257e-01	3.29013787e-01	4.60157081e-02	4.31500965e-01	-3.39469549e-01	4.60157081e-02	-4.60157081e-02	-5.64714696e-02	-7.14499044e-01
216             	9.20441140e-02	1.68340994e-19	-7.71123605e-01	3.85561802e-01	3.28999787e-01	4.60220570e-02	4.31583859e-01	-3.39539745e-01	4.60220570e-02	-4.60220570e-02	-5.65620152e-02	-7.14561589e-01
217             	9.20004032e-02	1.68208639e-19	-7.71342205e-01	3.85671102e-01	3.28988884e-01	4.60002016e-02	4.31671304e-01	-3.39670901e-01	4.60002016e-02	-4.60002016e-02	-5.66822180e-02	-7.14659987e-01
218             	9.20173388e-02	1.68074608e-19	-7.71479472e-01	3.85739736e-01	3.28962895e-01	4.60086694e-02	4.31748405e-01	-3.39731066e-01	4.60086694e-02	-4.60086694e-02	-5.67768413e-02	-7.14702630e-01
219             	9.19833112e-02	1.67939764e-19	-7.71766335e-01	3.85883168e-01	3.28983316e-01	4.59916556e-02	4.31874823e-01	-3.39891512e-01	4.59916556e-02	-4.59916556e-02	-5.68998519e-02	-7.14866483e-01
220             	9.20027892e-02	1.67803611e-19	-7.71902136e-01	3.85951068e-01	3.28959714e-01	4.60013946e-02	4.31952463e-01	-3.39949674e-01	4.60013946e-02	-4.60013946e-02	-5.69913541e-02	-7.14910782e-01
221             	9.19776602e-02	1.67666468e-19	-7.72198253e-01	3.86099126e-01	3.28986884e-01	4.59888301e-02	4.32087957e-01	-3.40110296e-01	4.59888301e-02	-4.59888301e-02	-5.71122428e-02	-7.15086010e-01
222             	9.20008221e-02	1.67528136e-19	-7.72312096e-01	3.86156048e-01	3.28961828e-01	4.60004110e-02	4.32156459e-01	-3.40155637e-01	4.60004110e-02	-4.60004110e-02	-5.71942193e-02	-7.15117876e-01
223             	9.19743395e-02	1.67389387e-19	-7.72523147e-01	3.86261574e-01	3.28961970e-01	4.59871698e-02	4.32248743e-01	-3.40274404e-01	4.59871698e-02	-4.59871698e-02	-5.72996037e-02	-7.15223543e-01
