# y+ ()         
# Time          	patch           	min             	max             	average         
1000            	Airfoil	5.09529555e-02	6.78770572e-01	3.53566510e-01
1000            	Ground	1.51685465e+01	3.10974284e+02	9.46829576e+01
2000            	Airfoil	3.66662236e-02	7.16298937e-01	3.58577944e-01
2000            	Ground	3.39438950e+01	4.40431592e+02	1.25056770e+02
3000            	Airfoil	6.95123739e-02	7.40665978e-01	3.63711107e-01
3000            	Ground	3.80910569e+01	4.82250215e+02	1.40051427e+02
4000            	Airfoil	6.91060492e-02	7.52508940e-01	3.66782649e-01
4000            	Ground	4.08709827e+01	5.03415140e+02	1.47514761e+02
