# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
150             	6.30643868e-02	-9.55611612e-19	-3.90839034e-01	1.95419517e-01	2.01354706e-01	3.15321934e-02	2.26951710e-01	-1.63887323e-01	3.15321934e-02	-3.15321934e-02	5.93518893e-03	-3.96774223e-01
151             	6.28722411e-02	-9.55606334e-19	-3.91050594e-01	1.95525297e-01	2.01559021e-01	3.14361205e-02	2.26961418e-01	-1.64089176e-01	3.14361205e-02	-3.14361205e-02	6.03372427e-03	-3.97084318e-01
152             	6.26801485e-02	-9.55600433e-19	-3.91298069e-01	1.95649034e-01	2.01773987e-01	3.13400743e-02	2.26989109e-01	-1.64308960e-01	3.13400743e-02	-3.13400743e-02	6.12495281e-03	-3.97423022e-01
153             	6.24950000e-02	-9.55595090e-19	-3.91503918e-01	1.95751959e-01	2.01970950e-01	3.12475000e-02	2.26999459e-01	-1.64504459e-01	3.12475000e-02	-3.12475000e-02	6.21899038e-03	-3.97722909e-01
154             	6.23085630e-02	-9.55589370e-19	-3.91738340e-01	1.95869170e-01	2.02173388e-01	3.11542815e-02	2.27023451e-01	-1.64714888e-01	3.11542815e-02	-3.11542815e-02	6.30421819e-03	-3.98042558e-01
155             	6.21263541e-02	-9.55584374e-19	-3.91927203e-01	1.95963602e-01	2.02354183e-01	3.10631770e-02	2.27026779e-01	-1.64900425e-01	3.10631770e-02	-3.10631770e-02	6.39058155e-03	-3.98317785e-01
156             	6.19432391e-02	-9.55578923e-19	-3.92148005e-01	1.96074003e-01	2.02542086e-01	3.09716195e-02	2.27045622e-01	-1.65102383e-01	3.09716195e-02	-3.09716195e-02	6.46808394e-03	-3.98616089e-01
157             	6.17665932e-02	-9.55574169e-19	-3.92319691e-01	1.96159846e-01	2.02707260e-01	3.08832966e-02	2.27043142e-01	-1.65276549e-01	3.08832966e-02	-3.08832966e-02	6.54741453e-03	-3.98867106e-01
158             	6.15878751e-02	-9.55568895e-19	-3.92523572e-01	1.96261786e-01	2.02879186e-01	3.07939375e-02	2.27055724e-01	-1.65467849e-01	3.07939375e-02	-3.07939375e-02	6.61739975e-03	-3.99140972e-01
159             	6.14124452e-02	-9.55564299e-19	-3.92677642e-01	1.96338821e-01	2.03027234e-01	3.07062226e-02	2.27045043e-01	-1.65632598e-01	3.07062226e-02	-3.07062226e-02	6.68841347e-03	-3.99366055e-01
160             	6.12342588e-02	-9.55559190e-19	-3.92865379e-01	1.96432690e-01	2.03182612e-01	3.06171294e-02	2.27049819e-01	-1.65815560e-01	3.06171294e-02	-3.06171294e-02	6.74992255e-03	-3.99615302e-01
