# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
145             	8.59614794e-02	-2.84816638e-19	-7.68355922e-01	3.84177961e-01	3.47821481e-01	4.29807397e-02	4.27158700e-01	-3.41197221e-01	4.29807397e-02	-4.29807397e-02	-3.63564802e-02	-7.31999441e-01
146             	8.59187250e-02	-2.84858657e-19	-7.69185039e-01	3.84592519e-01	3.48000325e-01	4.29593625e-02	4.27551882e-01	-3.41633157e-01	4.29593625e-02	-4.29593625e-02	-3.65921942e-02	-7.32592845e-01
147             	8.58874698e-02	-2.84899965e-19	-7.70112901e-01	3.85056450e-01	3.48206917e-01	4.29437349e-02	4.28000185e-01	-3.42112715e-01	4.29437349e-02	-4.29437349e-02	-3.68495334e-02	-7.33263367e-01
148             	8.58579721e-02	-2.84945203e-19	-7.71097030e-01	3.85548515e-01	3.48439843e-01	4.29289861e-02	4.28477501e-01	-3.42619529e-01	4.29289861e-02	-4.29289861e-02	-3.71086723e-02	-7.33988358e-01
149             	8.58320129e-02	-2.84977072e-19	-7.71995726e-01	3.85997863e-01	3.48637872e-01	4.29160065e-02	4.28913870e-01	-3.43081857e-01	4.29160065e-02	-4.29160065e-02	-3.73599909e-02	-7.34635735e-01
150             	8.58213312e-02	-2.85007327e-19	-7.73024238e-01	3.86512119e-01	3.48893879e-01	4.29106656e-02	4.29422785e-01	-3.43601454e-01	4.29106656e-02	-4.29106656e-02	-3.76182397e-02	-7.35405999e-01
151             	8.58312760e-02	-2.85033403e-19	-7.74168314e-01	3.87084157e-01	3.49209383e-01	4.29156380e-02	4.29999795e-01	-3.44168519e-01	4.29156380e-02	-4.29156380e-02	-3.78747737e-02	-7.36293540e-01
152             	8.58555620e-02	-2.85039471e-19	-7.75449953e-01	3.87724977e-01	3.49584391e-01	4.29277810e-02	4.30652758e-01	-3.44797195e-01	4.29277810e-02	-4.29277810e-02	-3.81405853e-02	-7.37309368e-01
153             	8.58852969e-02	-2.85037931e-19	-7.76677544e-01	3.88338772e-01	3.49940315e-01	4.29426485e-02	4.31281420e-01	-3.45396124e-01	4.29426485e-02	-4.29426485e-02	-3.83984565e-02	-7.38279087e-01
154             	8.59094456e-02	-2.85032690e-19	-7.77818052e-01	3.88909026e-01	3.50263968e-01	4.29547228e-02	4.31863749e-01	-3.45954303e-01	4.29547228e-02	-4.29547228e-02	-3.86450580e-02	-7.39172994e-01
155             	8.59365547e-02	-2.85026656e-19	-7.79063864e-01	3.89531932e-01	3.50619850e-01	4.29682773e-02	4.32500209e-01	-3.46563655e-01	4.29682773e-02	-4.29682773e-02	-3.89120816e-02	-7.40151782e-01
156             	8.59658001e-02	-2.85028579e-19	-7.80260520e-01	3.90130260e-01	3.50953459e-01	4.29829001e-02	4.33113160e-01	-3.47147360e-01	4.29829001e-02	-4.29829001e-02	-3.91768010e-02	-7.41083719e-01
157             	8.60004658e-02	-2.85022097e-19	-7.81461861e-01	3.90730931e-01	3.51292507e-01	4.30002329e-02	4.33731164e-01	-3.47730698e-01	4.30002329e-02	-4.30002329e-02	-3.94384239e-02	-7.42023437e-01
158             	8.60412281e-02	-2.85012333e-19	-7.82696777e-01	3.91348388e-01	3.51651584e-01	4.30206140e-02	4.34369002e-01	-3.48327774e-01	4.30206140e-02	-4.30206140e-02	-3.96968046e-02	-7.42999972e-01
159             	8.60814644e-02	-2.84998403e-19	-7.83966302e-01	3.91983151e-01	3.52022331e-01	4.30407322e-02	4.35023883e-01	-3.48942419e-01	4.30407322e-02	-4.30407322e-02	-3.99608203e-02	-7.44005482e-01
160             	8.61190337e-02	-2.84975336e-19	-7.85199358e-01	3.92599679e-01	3.52373138e-01	4.30595169e-02	4.35659196e-01	-3.49540162e-01	4.30595169e-02	-4.30595169e-02	-4.02265408e-02	-7.44972817e-01
161             	8.61691622e-02	-2.84942768e-19	-7.86575164e-01	3.93287582e-01	3.52783694e-01	4.30845811e-02	4.36372163e-01	-3.50203001e-01	4.30845811e-02	-4.30845811e-02	-4.05038885e-02	-7.46071276e-01
162             	8.62202337e-02	-2.84916991e-19	-7.88058822e-01	3.94029411e-01	3.53238356e-01	4.31101169e-02	4.37139528e-01	-3.50919294e-01	4.31101169e-02	-4.31101169e-02	-4.07910552e-02	-7.47267766e-01
163             	8.62659412e-02	-2.84893879e-19	-7.89397584e-01	3.94698792e-01	3.53639158e-01	4.31329706e-02	4.37831762e-01	-3.51565821e-01	4.31329706e-02	-4.31329706e-02	-4.10596338e-02	-7.48337950e-01
164             	8.63116055e-02	-2.84876424e-19	-7.90753849e-01	3.95376925e-01	3.54045631e-01	4.31558027e-02	4.38532727e-01	-3.52221122e-01	4.31558027e-02	-4.31558027e-02	-4.13312938e-02	-7.49422555e-01
165             	8.63601368e-02	-2.84860572e-19	-7.92122186e-01	3.96061093e-01	3.54463790e-01	4.31800684e-02	4.39241161e-01	-3.52881025e-01	4.31800684e-02	-4.31800684e-02	-4.15973034e-02	-7.50524883e-01
166             	8.64049448e-02	-2.84819006e-19	-7.93486240e-01	3.96743120e-01	3.54877156e-01	4.32024724e-02	4.39945592e-01	-3.53540647e-01	4.32024724e-02	-4.32024724e-02	-4.18659642e-02	-7.51620275e-01
167             	8.64487031e-02	-2.84772522e-19	-7.94854526e-01	3.97427263e-01	3.55291697e-01	4.32243515e-02	4.40651615e-01	-3.54202912e-01	4.32243515e-02	-4.32243515e-02	-4.21355660e-02	-7.52718960e-01
168             	8.64819777e-02	-2.84735132e-19	-7.96264819e-01	3.98132409e-01	3.55699353e-01	4.32409888e-02	4.41373398e-01	-3.54891421e-01	4.32409888e-02	-4.32409888e-02	-4.24330562e-02	-7.53831763e-01
169             	8.65099398e-02	-2.84701922e-19	-7.97631180e-01	3.98815590e-01	3.56083711e-01	4.32549699e-02	4.42070560e-01	-3.55560620e-01	4.32549699e-02	-4.32549699e-02	-4.27318788e-02	-7.54899301e-01
170             	8.65351707e-02	-2.84666168e-19	-7.98971721e-01	3.99485860e-01	3.56454129e-01	4.32675853e-02	4.42753446e-01	-3.56218275e-01	4.32675853e-02	-4.32675853e-02	-4.30317312e-02	-7.55939990e-01
