# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
135             	1.02166915e-01	1.75420914e-19	-8.11519197e-01	4.05759599e-01	3.50505180e-01	5.10834574e-02	4.56843056e-01	-3.54676141e-01	5.10834574e-02	-5.10834574e-02	-5.52544189e-02	-7.56264779e-01
136             	1.02209419e-01	1.75315381e-19	-8.10689673e-01	4.05344836e-01	3.50419788e-01	5.11047095e-02	4.56449546e-01	-3.54240127e-01	5.11047095e-02	-5.11047095e-02	-5.49250480e-02	-7.55764625e-01
137             	1.02150109e-01	1.75209878e-19	-8.10132239e-01	4.05066119e-01	3.50352712e-01	5.10750546e-02	4.56141174e-01	-3.53991065e-01	5.10750546e-02	-5.10750546e-02	-5.47134077e-02	-7.55418831e-01
138             	1.02129432e-01	1.75105748e-19	-8.09316026e-01	4.04658013e-01	3.50212840e-01	5.10647162e-02	4.55722729e-01	-3.53593297e-01	5.10647162e-02	-5.10647162e-02	-5.44451730e-02	-7.54870853e-01
139             	1.02070920e-01	1.75001775e-19	-8.08938484e-01	4.04469242e-01	3.50152137e-01	5.10354599e-02	4.55504702e-01	-3.53433782e-01	5.10354599e-02	-5.10354599e-02	-5.43171053e-02	-7.54621379e-01
140             	1.02013013e-01	1.74898171e-19	-8.08517203e-01	4.04258602e-01	3.50095023e-01	5.10065064e-02	4.55265108e-01	-3.53252095e-01	5.10065064e-02	-5.10065064e-02	-5.41635782e-02	-7.54353625e-01
141             	1.01968174e-01	1.74794832e-19	-8.08509294e-01	4.04254647e-01	3.50134411e-01	5.09840872e-02	4.55238734e-01	-3.53270560e-01	5.09840872e-02	-5.09840872e-02	-5.41202356e-02	-7.54389058e-01
142             	1.01924244e-01	1.74692044e-19	-8.08537187e-01	4.04268594e-01	3.50216184e-01	5.09621221e-02	4.55230716e-01	-3.53306472e-01	5.09621221e-02	-5.09621221e-02	-5.40524101e-02	-7.54484777e-01
143             	1.01906405e-01	1.74589849e-19	-8.08980964e-01	4.04490482e-01	3.50432054e-01	5.09532026e-02	4.55443685e-01	-3.53537279e-01	5.09532026e-02	-5.09532026e-02	-5.40584281e-02	-7.54922536e-01
144             	1.01909523e-01	1.74489204e-19	-8.09394855e-01	4.04697428e-01	3.50683001e-01	5.09547614e-02	4.55652189e-01	-3.53742666e-01	5.09547614e-02	-5.09547614e-02	-5.40144265e-02	-7.55380429e-01
145             	1.01920478e-01	1.74387964e-19	-8.09998072e-01	4.04999036e-01	3.51001752e-01	5.09602389e-02	4.55959275e-01	-3.54038797e-01	5.09602389e-02	-5.09602389e-02	-5.39972845e-02	-7.56000788e-01
146             	1.01929604e-01	1.74287390e-19	-8.10273382e-01	4.05136691e-01	3.51216749e-01	5.09648022e-02	4.56101493e-01	-3.54171889e-01	5.09648022e-02	-5.09648022e-02	-5.39199421e-02	-7.56353439e-01
147             	1.01942904e-01	1.74187799e-19	-8.10478068e-01	4.05239034e-01	3.51400233e-01	5.09714522e-02	4.56210486e-01	-3.54267582e-01	5.09714522e-02	-5.09714522e-02	-5.38388014e-02	-7.56639267e-01
