# ccx tau_xx tau_yy tau_zz cp yplus
0.623892 1.94515e-06 5.23551e-11 -2.1118e-23 -0.62881 0.300793
0.619996 1.87739e-06 -2.42846e-08 -5.41091e-21 -0.638464 0.292181
0.616115 1.79357e-06 -5.05721e-08 -5.45147e-21 -0.648219 0.282351
0.612252 1.70359e-06 -7.77845e-08 2.07778e-39 -0.658454 0.272055
0.608408 1.53006e-06 -1.14562e-07 -5.50946e-21 -0.668888 0.25568
0.604579 1.4194e-06 -1.46982e-07 5.52872e-21 -0.679478 0.244255
0.600766 1.32696e-06 -1.73393e-07 -1.46937e-39 -0.69057 0.233647
0.596973 1.20077e-06 -2.09059e-07 -2.93874e-39 -0.701924 0.21998
0.593195 1.08955e-06 -2.4859e-07 5.60618e-21 -0.713686 0.207558
0.589435 8.58715e-07 -2.99218e-07 1.02856e-38 -0.725987 0.183818
0.585692 6.61592e-07 -3.38479e-07 -5.66531e-21 -0.738156 0.162544
0.581962 5.97627e-07 -3.70536e-07 -6.61216e-39 -0.750957 0.154813
0.578251 3.60469e-07 -4.13967e-07 2.1012e-37 -0.764409 0.129719
0.574558 2.98762e-07 -4.60241e-07 5.74379e-21 -0.777529 0.125866
0.57088 -7.61708e-08 -5.22738e-07 -5.78557e-21 -0.792677 0.120881
0.567217 -4.73066e-07 -5.9373e-07 2.26621e-23 -0.806013 0.155043
0.563571 -5.01189e-07 -6.34235e-07 -5.82306e-21 -0.820933 0.158275
0.559938 -8.00888e-07 -6.94709e-07 5.87747e-39 -0.836154 0.183677
0.556324 -9.23285e-07 -7.52479e-07 0 -0.851367 0.193345
0.552728 -1.30262e-06 -8.31372e-07 0 -0.868331 0.220446
0.549143 -1.89359e-06 -9.08489e-07 -7.34684e-40 -0.884335 0.258412
0.545574 -2.14338e-06 -9.62421e-07 -2.97848e-21 -0.900555 0.272084
0.542022 -2.30578e-06 -1.02052e-06 -1.46937e-39 -0.917464 0.279218
0.538484 -2.67482e-06 -1.07916e-06 2.16701e-39 -0.935308 0.296245
0.534963 -2.76312e-06 -1.15743e-06 4.76397e-40 -0.952341 0.298764
0.531459 -3.47019e-06 -1.24036e-06 -2.36385e-23 -0.973183 0.329077
0.527966 -4.18551e-06 -1.29669e-06 2.3741e-23 -0.989582 0.35948
0.52449 -4.21938e-06 -1.35451e-06 -6.13579e-21 -1.00883 0.35801
0.521029 -4.58169e-06 -1.42154e-06 2.39494e-23 -1.02792 0.369154
0.517583 -4.88824e-06 -1.49084e-06 3.05584e-21 -1.04783 0.377521
0.514153 -5.20583e-06 -1.58218e-06 2.41856e-23 -1.0681 0.385912
0.510739 -6.00051e-06 -1.65878e-06 2.42546e-23 -1.09023 0.410232
0.507337 -6.62501e-06 -1.71073e-06 3.07179e-21 -1.1094 0.429085
0.503952 -6.78176e-06 -1.78205e-06 2.44951e-23 -1.13077 0.430426
0.500581 -7.19286e-06 -1.85576e-06 -3.14487e-21 -1.1524 0.4391
0.497225 -7.53991e-06 -1.93904e-06 -3.18751e-21 -1.17456 0.445487
0.493886 -7.98898e-06 -2.04454e-06 3.20053e-21 -1.19783 0.454386
0.490559 -8.9572e-06 -2.11619e-06 3.18469e-21 -1.22221 0.477418
0.487247 -9.6284e-06 -2.1643e-06 -3.22934e-21 -1.24362 0.492958
0.483951 -9.83948e-06 -2.24572e-06 -3.19121e-21 -1.26726 0.494185
0.480666 -1.03034e-05 -2.32618e-06 1.83671e-39 -1.29131 0.501234
0.477399 -1.07256e-05 -2.41679e-06 -2.03185e-37 -1.31587 0.506959
0.474148 -1.1197e-05 -2.54542e-06 -2.54513e-23 -1.34151 0.513602
0.470907 -1.24796e-05 -2.61191e-06 3.29317e-21 -1.36941 0.538312
0.467683 -1.34009e-05 -2.63191e-06 3.289e-21 -1.39172 0.556785
0.464473 -1.35417e-05 -2.72455e-06 -3.3252e-21 -1.41732 0.555334
0.461275 -1.40355e-05 -2.81391e-06 2.58752e-23 -1.44334 0.560718
0.458093 -1.45846e-05 -2.89372e-06 6.6646e-21 -1.47028 0.566798
0.454926 -1.47986e-05 -3.06762e-06 -2.56405e-37 -1.4968 0.566682
0.451772 -1.64533e-05 -3.14179e-06 -3.35448e-21 -1.53067 0.59227
0.448632 -1.79403e-05 -3.08642e-06 1.87294e-39 -1.55237 0.619658
0.445505 -1.78803e-05 -3.19071e-06 -3.38471e-21 -1.57967 0.614158
0.442391 -1.84087e-05 -3.27601e-06 3.38658e-21 -1.60688 0.618386
0.439293 -1.8944e-05 -3.35454e-06 -3.41868e-21 -1.63529 0.622463
0.436209 -1.92349e-05 -3.51384e-06 -3.42969e-21 -1.66327 0.622682
0.433138 -2.05467e-05 -3.622e-06 -3.43084e-21 -1.69756 0.63835
0.430082 -2.23502e-05 -3.56336e-06 3.47495e-21 -1.72434 0.665351
0.427038 -2.28269e-05 -3.60252e-06 -1.35664e-23 -1.75055 0.669996
0.424006 -2.31372e-05 -3.69916e-06 1.96236e-39 -1.77889 0.669821
0.42099 -2.36665e-05 -3.78664e-06 -1.37021e-23 -1.80819 0.672623
0.417988 -2.42044e-05 -3.88191e-06 3.53324e-21 -1.83798 0.67539
0.414998 -2.46359e-05 -4.07961e-06 1.38102e-23 -1.86902 0.676784
0.412024 -2.66726e-05 -4.09225e-06 1.76232e-21 -1.90614 0.699876
0.409061 -2.82663e-05 -3.96926e-06 -1.78196e-21 -1.92956 0.721735
0.40611 -2.82075e-05 -4.09247e-06 -4.75708e-38 -1.95908 0.716402
0.403175 -2.87564e-05 -4.17601e-06 1.40636e-23 -1.98885 0.71857
0.400253 -2.93222e-05 -4.25825e-06 -1.9718e-27 -2.01973 0.720807
0.397343 -2.97455e-05 -4.40605e-06 3.61711e-21 -2.05069 0.721326
0.394449 -3.08627e-05 -4.53715e-06 3.67342e-40 -2.08652 0.729859
0.391567 -3.2933e-05 -4.45271e-06 -1.40692e-37 -2.11903 0.752122
0.388696 -3.39027e-05 -4.40685e-06 1.82441e-21 -2.14535 0.762024
0.38584 -3.40884e-05 -4.51956e-06 1.44409e-23 -2.17547 0.759516
0.382997 -3.46544e-05 -4.6067e-06 1.84022e-21 -2.20649 0.761111
0.380167 -3.52717e-05 -4.69269e-06 1.87837e-21 -2.23832 0.763147
0.377351 -3.56633e-05 -4.87703e-06 -1.87382e-21 -2.27064 0.762834
0.374548 -3.71382e-05 -4.96627e-06 -3.05113e-27 -2.30952 0.773554
0.371756 -3.91527e-05 -4.84052e-06 2.29589e-41 -2.34034 0.793304
0.368978 -3.98054e-05 -4.85711e-06 -1.48298e-23 -2.36953 0.797387
0.366214 -4.01844e-05 -4.96073e-06 1.92004e-21 -2.40112 0.796625
0.36346 -4.08042e-05 -5.04919e-06 1.10203e-39 -2.43378 0.798148
0.360722 -4.14789e-05 -5.13335e-06 1.50376e-23 -2.46705 0.800099
0.357997 -4.19209e-05 -5.32136e-06 -1.50933e-23 -2.50085 0.799883
0.355282 -4.34882e-05 -5.39987e-06 1.51425e-23 -2.54139 0.809923
0.352582 -4.55233e-05 -5.26569e-06 -2.16967e-27 -2.57315 0.827559
0.349895 -4.61765e-05 -5.29987e-06 1.94235e-21 -2.60406 0.830697
0.347218 -4.66269e-05 -5.41307e-06 -1.53497e-23 -2.63743 0.830282
0.344555 -4.73119e-05 -5.5112e-06 -1.962e-21 -2.67213 0.831866
0.341907 -4.80527e-05 -5.59963e-06 -3.14157e-27 -2.70753 0.833835
0.339269 -4.84881e-05 -5.81819e-06 3.98565e-21 -2.74349 0.833251
0.336644 -5.02668e-05 -5.9298e-06 -1.56446e-23 -2.78788 0.843764
0.334033 -5.3133e-05 -5.68974e-06 4.02347e-21 -2.82311 0.86704
0.331433 -5.41611e-05 -5.61784e-06 2.03515e-21 -2.85173 0.874421
0.328844 -5.43449e-05 -5.75503e-06 1.58524e-23 -2.88523 0.871656
