# ccx tau_xx tau_yy tau_zz cp yplus
0.00174221 -5.33612e-05 0.000124602 -4.69607e-24 -0.391687 0.606546
0.00196387 -2.50415e-05 6.26625e-05 -1.18313e-21 -0.180452 0.420515
0.0021898 -3.93202e-05 8.74064e-05 4.55161e-24 -0.235845 0.492519
0.0024203 -3.92119e-05 8.79698e-05 2.27913e-21 -0.240787 0.484956
0.0026557 -4.24625e-05 9.42018e-05 2.2389e-21 -0.274773 0.493244
0.00289636 -4.88426e-05 0.0001069 -4.26607e-24 -0.306983 0.516412
0.00314265 -5.20081e-05 0.000113685 -1.63337e-27 -0.386412 0.522746
0.00339497 -7.11642e-05 0.00015085 1.48406e-37 -0.424296 0.592773
0.00368114 -7.27776e-05 0.00012876 -2.02492e-21 -0.670879 0.588235
0.00400568 -4.7858e-05 8.57937e-05 3.95912e-21 -0.56329 0.476356
0.00434204 -5.72265e-05 9.75248e-05 -3.86366e-21 -0.604293 0.503491
0.00468701 -6.25842e-05 0.00010609 7.34684e-39 -0.645441 0.517762
0.00504113 -6.88103e-05 0.000115913 2.44895e-27 -0.715571 0.53376
0.00540503 -8.30752e-05 0.000137927 2.2688e-37 -0.791151 0.574989
0.00577934 -9.43727e-05 0.000155622 0 -0.963157 0.602679
0.00617393 -0.000153403 0.000231468 -1.63663e-24 -1.0937 0.752509
0.0066576 -0.00011474 0.000123326 3.15592e-24 -1.78114 0.666779
0.00722529 -1.28691e-05 2.10227e-05 -3.14804e-21 -1.10983 0.252041
0.00781333 -6.86122e-05 7.10207e-05 -3.60134e-28 -1.24567 0.502611
0.0084233 -6.79787e-05 7.16603e-05 -1.42661e-24 -1.21719 0.498863
0.00905692 -8.92236e-05 9.19429e-05 -2.99609e-28 -1.26575 0.564032
0.00973126 -0.000122101 0.000114555 -1.63509e-26 -1.39147 0.657965
0.0104856 -7.5905e-05 6.07792e-05 -5.17269e-21 -1.61847 0.5264
0.0113082 -2.99964e-05 2.56033e-05 4.98875e-21 -1.2814 0.333705
0.0121659 -6.0856e-05 4.67779e-05 -1.16666e-24 -1.33844 0.463512
0.0130615 -7.13351e-05 5.48005e-05 -4.56858e-21 -1.32068 0.499692
0.0140132 -9.71431e-05 6.77185e-05 -1.27468e-37 -1.39354 0.582637
0.0150563 -5.12994e-05 3.10617e-05 -4.17299e-21 -1.53108 0.428048
0.0161802 -1.52542e-05 1.01257e-05 4.00218e-21 -1.22139 0.235873
0.0173577 -3.41638e-05 2.00309e-05 7.62835e-21 -1.26182 0.346106
0.0185933 -4.70234e-05 2.72581e-05 -8.86827e-25 -1.14415 0.404604
0.0199071 -4.30276e-05 2.27848e-05 4.22558e-25 -1.24544 0.387889
0.0213018 -2.68779e-05 1.45542e-05 -6.61442e-21 -1.07256 0.306874
0.022765 -3.86204e-05 2.01965e-05 3.86946e-25 -1.08142 0.365753
0.0243021 -4.45468e-05 2.32266e-05 -1.41059e-37 -1.01974 0.392047
